epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1608.82,0.69148,0.38822,0.96022,0.97868,0.97502,0.99107,0.81191,0.70698,0.35846,0.9511,0.000319079,0.000319079,0.000319079
74,1630.62,0.72237,0.39664,0.97548,0.95944,0.99543,0.99016,0.81592,0.69909,0.35171,0.95278,0.00030808,0.00030808,0.00030808
75,1652.39,0.7037,0.39258,0.97836,0.95978,0.99535,0.99059,0.81997,0.6969,0.34506,0.95343,0.000297081,0.000297081,0.000297081
76,1673.73,0.70815,0.39881,0.97877,0.99142,0.97701,0.99171,0.8122,0.70274,0.35355,0.9546,0.000286083,0.000286083,0.000286083
77,1695.4,0.70943,0.38784,0.97495,0.99286,0.97529,0.99253,0.81681,0.69215,0.34496,0.94761,0.000275084,0.000275084,0.000275084
78,1716.9,0.70285,0.38571,0.96497,0.98827,0.98822,0.9934,0.82005,0.69706,0.34601,0.95127,0.000264085,0.000264085,0.000264085
79,1738.72,0.70535,0.38486,0.97119,0.9878,0.98322,0.99342,0.82187,0.6981,0.34623,0.95185,0.000253086,0.000253086,0.000253086
80,1760.31,0.715,0.38313,0.97321,0.9883,0.97917,0.99149,0.81671,0.71073,0.34989,0.95689,0.000242087,0.000242087,0.000242087
81,1782.13,0.71238,0.3866,0.9721,0.9917,0.96641,0.99044,0.81677,0.69986,0.34673,0.94953,0.000231088,0.000231088,0.000231088
82,1805.1,0.70971,0.38143,0.96883,0.97199,0.97932,0.99137,0.81636,0.70253,0.35082,0.9465,0.000220089,0.000220089,0.000220089
83,1827.47,0.70282,0.38724,0.97224,0.99154,0.97956,0.99259,0.81837,0.6938,0.33709,0.94335,0.00020909,0.00020909,0.00020909
84,1848.92,0.71494,0.3764,0.97192,0.99233,0.98313,0.99262,0.82319,0.68874,0.33126,0.93997,0.000198091,0.000198091,0.000198091
85,1870.72,0.71912,0.38424,0.96841,0.99406,0.98238,0.99258,0.82721,0.69155,0.33018,0.94073,0.000187092,0.000187092,0.000187092
86,1892.15,0.70108,0.38437,0.96357,0.99103,0.98405,0.9935,0.82603,0.69297,0.33158,0.9413,0.000176094,0.000176094,0.000176094
87,1913.92,0.6973,0.37624,0.96208,0.99057,0.98313,0.99341,0.82505,0.69502,0.33298,0.9423,0.000165095,0.000165095,0.000165095
88,1935.74,0.71103,0.38223,0.97504,0.9867,0.97559,0.99173,0.82187,0.68906,0.33335,0.94411,0.000154096,0.000154096,0.000154096
89,1957.57,0.71326,0.38043,0.97246,0.98483,0.97622,0.99134,0.81859,0.68851,0.33267,0.94493,0.000143097,0.000143097,0.000143097
90,1979.36,0.69146,0.37192,0.9593,0.98931,0.9831,0.99217,0.82187,0.68439,0.32642,0.9445,0.000132098,0.000132098,0.000132098
91,2000.79,0.67097,0.36211,0.94735,0.98957,0.98108,0.99216,0.8224,0.68558,0.33234,0.94735,0.000121099,0.000121099,0.000121099
92,2022.16,0.67842,0.36216,0.95318,0.98464,0.98306,0.99203,0.81828,0.68701,0.34017,0.95104,0.0001101,0.0001101,0.0001101
93,2043.74,0.66544,0.35094,0.95511,0.98788,0.98108,0.99217,0.81838,0.68856,0.33764,0.95037,9.91012e-05,9.91012e-05,9.91012e-05
94,2065.01,0.67015,0.34615,0.94831,0.99216,0.97756,0.99214,0.81802,0.69113,0.33891,0.94827,8.81023e-05,8.81023e-05,8.81023e-05
95,2086.5,0.667,0.347,0.95248,0.99031,0.97883,0.99207,0.81806,0.69082,0.33969,0.94817,7.71034e-05,7.71034e-05,7.71034e-05
96,2107.98,0.66134,0.34315,0.94311,0.98816,0.9802,0.99194,0.82038,0.6878,0.33694,0.94607,6.61045e-05,6.61045e-05,6.61045e-05
97,2129.4,0.67045,0.34558,0.94102,0.98775,0.98062,0.99132,0.82309,0.68747,0.33581,0.9448,5.51056e-05,5.51056e-05,5.51056e-05
98,2151,0.6645,0.34236,0.94091,0.98548,0.98177,0.99121,0.82285,0.68592,0.33199,0.94374,4.41067e-05,4.41067e-05,4.41067e-05
99,2172.02,0.66422,0.33901,0.94572,0.98718,0.98392,0.99209,0.82091,0.68535,0.33021,0.94376,3.31078e-05,3.31078e-05,3.31078e-05
100,2193.55,0.65732,0.33627,0.94505,0.9864,0.98505,0.99198,0.82038,0.68622,0.32922,0.94469,2.21089e-05,2.21089e-05,2.21089e-05
